Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
trello-backend,com0.trello,ConfigWeb,addCorsMappings,Long Statement,The length of the statement "registry.addMapping("/**").allowedOrigins("http://localhost:3001").allowedMethods("GET"`"POST"`"PUT"`"DELETE").allowedHeaders("*").allowCredentials(true);" is 154.,10
trello-backend,com0.trello,BoardTest,testGetAllBoardsInWorkspace_BoardsExist,Magic Number,The method contains a magic number: 2,72
trello-backend,com0.trello,BoardTest,testGetAllBoardsInWorkspace_BoardsExist,Magic Number,The method contains a magic number: 3,72
trello-backend,com0.trello,BoardTest,testGetAllBoardsInWorkspace_BoardsExist,Magic Number,The method contains a magic number: 3,72
trello-backend,com0.trello,TaskTest,createTaskTest,Magic Number,The method contains a magic number: 2023,39
trello-backend,com0.trello,TaskTest,createTaskTest,Magic Number,The method contains a magic number: 07,39
trello-backend,com0.trello,TaskTest,createTaskTest,Magic Number,The method contains a magic number: 19,39
trello-backend,com0.trello,TaskTest,createTaskTest,Magic Number,The method contains a magic number: 2023,39
trello-backend,com0.trello,TaskTest,createTaskTest,Magic Number,The method contains a magic number: 07,39
trello-backend,com0.trello,TaskTest,createTaskTest,Magic Number,The method contains a magic number: 25,39
trello-backend,com0.trello,TaskTest,createTaskWithoutNameTest,Magic Number,The method contains a magic number: 2023,60
trello-backend,com0.trello,TaskTest,createTaskWithoutNameTest,Magic Number,The method contains a magic number: 07,60
trello-backend,com0.trello,TaskTest,createTaskWithoutNameTest,Magic Number,The method contains a magic number: 19,60
trello-backend,com0.trello,TaskTest,createTaskWithoutNameTest,Magic Number,The method contains a magic number: 2023,60
trello-backend,com0.trello,TaskTest,createTaskWithoutNameTest,Magic Number,The method contains a magic number: 07,60
trello-backend,com0.trello,TaskTest,createTaskWithoutNameTest,Magic Number,The method contains a magic number: 25,60
trello-backend,com0.trello,TaskTest,statusChangeTest,Magic Number,The method contains a magic number: 2023,76
trello-backend,com0.trello,TaskTest,statusChangeTest,Magic Number,The method contains a magic number: 07,76
trello-backend,com0.trello,TaskTest,statusChangeTest,Magic Number,The method contains a magic number: 19,76
trello-backend,com0.trello,TaskTest,statusChangeTest,Magic Number,The method contains a magic number: 2023,76
trello-backend,com0.trello,TaskTest,statusChangeTest,Magic Number,The method contains a magic number: 07,76
trello-backend,com0.trello,TaskTest,statusChangeTest,Magic Number,The method contains a magic number: 25,76
trello-backend,com0.trello,TaskTest,statusChangeWithoutAssignedTaskTest,Magic Number,The method contains a magic number: 2023,101
trello-backend,com0.trello,TaskTest,statusChangeWithoutAssignedTaskTest,Magic Number,The method contains a magic number: 07,101
trello-backend,com0.trello,TaskTest,statusChangeWithoutAssignedTaskTest,Magic Number,The method contains a magic number: 19,101
trello-backend,com0.trello,TaskTest,statusChangeWithoutAssignedTaskTest,Magic Number,The method contains a magic number: 2023,101
trello-backend,com0.trello,TaskTest,statusChangeWithoutAssignedTaskTest,Magic Number,The method contains a magic number: 07,101
